Control ID,Family,Title,Description
SI-16,System and Information Integrity,Memory Protection,Implement controls to protect system memory from unauthorized code execution.
SI-17,System and Information Integrity,Fail-safe Procedures,Implement defined fail-safe procedures when defined failure conditions occur.
SI-18,System and Information Integrity,Personally Identifiable Information Quality Operations,"Check the accuracy, relevance, timeliness, and completeness of personally identifiable information across the information life cycle."
SI-19,System and Information Integrity,De-identification,Remove defined elements of personally identifiable information from datasets or use a defined de-identification technique.
SI-20,System and Information Integrity,Tainting,Embed data or capabilities in defined systems to determine if organizational data has been exfiltrated or improperly removed.
SI-21,System and Information Integrity,Information Refresh,Refresh defined information at a defined frequency or generate the information on demand.
SI-22,System and Information Integrity,Information Diversity,Identify alternative information sources for defined essential functions in the event of a loss of primary information source.
SI-23,System and Information Integrity,Information Fragmentation,Fragment defined information and distribute the fragments to multiple physical locations or components.
SR-1,Supply Chain Risk Management,Policy and Procedures,"Develop, document, and disseminate supply chain risk management policy and procedures."
SR-2,Supply Chain Risk Management,Supply Chain Risk Management Plan,"Develop a plan for managing supply chain risks associated with the research, development, design, and delivery of the system."
SR-3,Supply Chain Risk Management,Supply Chain Controls and Processes,Establish a process to identify and address weaknesses or deficiencies in the supply chain elements and processes.
SR-4,Supply Chain Risk Management,Provenance,"Document, monitor, and maintain valid provenance of the system, system components, and associated data."
SR-5,Supply Chain Risk Management,"Acquisition Strategies, Tools, and Methods","Employ defined acquisition strategies, contract tools, and procurement methods to protect against supply chain risks."
SR-6,Supply Chain Risk Management,Supplier Assessments and Reviews,Assess and review the supply chain-related risks associated with suppliers or contractors.
SR-7,Supply Chain Risk Management,Supply Chain Operations Security,Employ defined operations security safeguards to protect supply chain-related information for the system.
SR-8,Supply Chain Risk Management,Notification Agreements,Establish agreements and procedures with entities involved in the supply chain for notification of supply chain compromises.
SR-9,Supply Chain Risk Management,Tamper Resistance and Detection,Employ anti-tamper technologies and techniques to detect physical tampering or alteration of system components.
SR-10,Supply Chain Risk Management,Inspection of Systems or Components,Inspect defined systems or system components at defined times or occurrences to detect tampering.
SR-11,Supply Chain Risk Management,Component Authenticity,Develop and implement anti-counterfeit policy and procedures to detect and prevent counterfeit components from entering the system.
SR-12,Supply Chain Risk Management,Component Disposal,"Dispose of defined data, documentation, tools, or system components using defined techniques and methods."
