Code,Name,Description
DCF-272,Guidance for Shared Key Management,"Where Optimized Payments shares cryptographic keys with its customers for transmission or storage of account data, the company documents and distributes guidance on secure transmission, storage and updating of such keys to those customers."
DCF-273,Strong Key Generation Policies and Procedures,"Key-management policies and procedures are documented and implemented including: generation of strong cryptographic keys, secure distribution, and secure storage of cryptographic keys used to protect sensitive data."
DCF-276,Key Changes for Retired Keys,A defined cryptoperiod for each key type in use as defined by the associated application vendor or key owner is documented. Optimized Payments changes encryption keys when they reach the end of their cryptoperiod in accordance with documented policies and procedures.
DCF-278,Key Retirement Policies and Procedures,"Optimized Payments retires, replaces or destructs cryptographic keys that are no longer used or needed or when the key expires, the integrity of the key has been weakened, or the key is known or suspected to be compromised, in accordance with documented company policies and procedures. Retired or replaced keys are not used for encryption operations."
DCF-280,Split Knowledge and Dual Control of Keys,Split knowledge and dual control are used to manage operations where manual cleartext cryptographic key management is performed in accordance with documented company policies and procedures.
DCF-281,Prevention of Unauthorized Key Substitution,Key management policies and procedures are documented and implemented to include the prevention of unauthorized substitution of cryptographic keys.
DCF-282,Formal Acknowledgment of Key Custodial Responsibilities,Optimized Payments requires cryptographic key custodians to formally acknowledge that they understand and accept their key-custodian responsibilities in accordance with documented company policies and procedures.
DCF-284,Key and Certificate Validation,Optimized Payments has implemented security mechanisms so that only trusted keys and/or certificates are accepted during transmission of sensitive data that are confirmed valid and not expired or revoked.
DCF-285,Insecure Versions or Configurations Not Supported,"Security protocols in use for transmission of sensitive data support only secure versions or configurations and do not support fallback to, or use of insecure versions, algorithms, key sizes, or implementations."
DCF-288,Strong Encryption for Wireless Network Transmission,Wireless networks transmitting sensitive data or connected to the environment use strong protocols for authentication and encryption of data transmissions.
DCF-289,Sensitive Data Secured in Transmission via End-User Messaging Technologies,"Optimized Payments encrypts sensitive data with strong cryptography when transmitted via e-mail, instant messaging, SMS, chat or other end-user messaging technologies."
DCF-291,Anti-Malware on All System Components,"An anti-malware solution is deployed on all system components, except for those system components identified through periodic risk assessments that concludes the system components are not at risk from malware."
DCF-292,Periodic Evaluation of Malware Threats,Optimized Payments maintains a documented list of all system components evaluated as not at risk for malware that are not subjected to anti-malware controls. Optimized Payments performs periodic evaluations to identify and assess evolving malware threats for those system components and to confirm whether such system components continue to not require anti-malware protection. Results of the periodic evaluation are documented.
DCF-293,Anti-Malware Capabilities and Automatic Updates,"The deployed anti-malware solution is kept current via automatic updates and configured to detect all known types of malware and to remove, block, or contain all known types of malware."
DCF-294,Anti-Malware Tools Behavior,"The implemented anti-malware solutions are configured to perform periodic scans and active/real-time scans (e.g., scanning files from external sources as they are downloaded, opened, or executed) or to perform continuous behavioral analysis of systems or processes."
DCF-296,Access to Anti-Virus Configuration,Optimized Payments restricts access to disable or alter anti-malware mechanisms to authorized personnel based on documented approval by management on a case-by-case basis for a limited time period.
DCF-297,Patch Management,Optimized Payments has implemented a formal patch management process where critical patches/updates (as identified per the entity's vulnerability risk analysis) are installed within one month of release. All other applicable security patches/updates are installed within the timeframe established by the entity per the risk analysis and company policies and procedures.
DCF-304,Test Data Removed before System Activation,Test data and test accounts are removed from system components before the system goes into production.
DCF-305,Production Components Change Control Procedures ,"Changes to all system components in the production environment (including software, code, infrastructure, network, configuration changes, etc.) are made according to established procedures that include documentation (change description, justification, evaluation of security requirements and impact, approval by authorized parties, rollback procedures, etc.) and testing (including acceptance and security impact testing)."
DCF-310,PCI Requirements Validation Upon Changes,"Optimized Payments verifies all system components after a change to validate they are compliant with the applicable PCI DSS requirements. Record of the validation is documented and retained, and updates to PCI DSS requirements documentation are made as applicable based on the nature of the change."
DCF-312,Secure Code Development Training,"Developers are required to complete secure code development training at least once every 12 months, including training on software security relevant to their job function and development languages, secure software design and secure coding techniques, and how to use tools for detecting vulnerabilities in software if these are used in the organization."
DCF-324,Public-Facing Web Application Vulnerability Assessment,"Optimized Payments evaluates public-facing web applications via manual or automated application vulnerability security assessment tools at least once every 12 months and after significant changes. Vulnerabilities identified, if any, are risk-ranked and corrected, and the application is re-evaluated after the corrections."
DCF-326,Need-to-Know Principle,Optimized Payments restricts access to system components and data to only those individuals whose job requires such access.
DCF-329,Access Control System,"For all system components, access is managed via an access control system. The access control system(s) is configured to enforce permissions assigned to individuals, applications, and systems based on job classification and function and is set to “deny all” by default."
DCF-335,Inactive User Accounts Removed,Optimized Payments removes or disables inactive accounts within 90 days of inactivity.
DCF-336,Third Party Remote Access Monitored,"Accounts used by third parties to access, support, or maintain system components via remote access are enabled during the time period needed based on documented authorization by management and disabled when not in use. Third-party remote access is monitored by company personnel for unexpected activity."
DCF-339,Account Lockout after Failed Logins,Invalid authentication attempts are limited by locking out the user ID after not more than 10 failed attempts.
DCF-340,Lockout Duration,"Optimized Payments has configured account lockout duration following a set number of invalid authentication attempts to a minimum of 30 minutes or until the identity of the user is confirmed (for example, by a system administrator)."
DCF-343,Strong Encryption of Authentication Credentials During Transmission and Storage,"Strong cryptographic protocols are used to render all authentication credentials (e.g.,passwords, passphrases, etc.) unreadable during transmission and storage on all system components."
DCF-345,User Identity Verification Before Modifying Authentication,"User identity is verified before allowing changes to any authentication factor (for example, performing password resets, provisioning new tokens, or generating new keys). Verification is done through secret question/answers, knowledge-based information, or other mechanisms."
DCF-346,Minimum Strong Password Requirements,"Minimum password requirements are enforced on system components including a minimum length of 12 characters (or if the system does not support 12 characters, a minimum length of eight characters) and complexity requirements to include both numbers and letters."
DCF-348,Periodic Password Change for In-Scope Components Not In the CDE,"For in-scope components that are not in the cardholder data environment (CDE) where passwords/passphrases are used as the only authentication factor, credentials are required to be changed at least once every 90 days. Alternatively, technical measures are implemented to dynamically analyze the security posture of accounts, and real-time access to resources is automatically determined accordingly."
DCF-349,Guidance Provided to Customers for Password Changes,"Where customer user access to cardholder data is achieved only through passwords/passphrases (i.e., single factor authentication), Optimized Payments provides guidance to customer users as to how frequently, and under what circumstances, they should change their passwords."
DCF-350,Password History Enforcement,System configuration settings are in place to prevent password reuse in accordance with company policy and compliance requirements.
DCF-352,Unique First-time Passwords With One-Time Use,Passwords are set to a unique value for first-time use and upon reset. Temporary initial passwords are forced to be changed immediately after the first use.
DCF-354,MFA for Non-Console Admin Access,Multi-factor authentication (MFA) is required for all non-console access into the environment for personnel with administrative access.
DCF-355,MFA for Remote Access,"All remote access to the entity's network and systems (including that of users, administrators, and external access from third parties or vendors including access for maintenance sessions) requires multi-factor authentication."
DCF-356,Communication of Authentication Best Practices,"Optimized Payments has documented policies and procedures for authentication that are communicated to all personnel. These documents include guidance on selecting strong authentication factors, guidance on protecting authentication credentials, instructions not to reuse previously used credentials, instructions to change authentication credentials in the event of known or suspected compromise along with guidance on how to report the incident, etc."
DCF-358,Unique Authentication Credential for Service Providers with Remote Access,Optimized Payments's authentication factors and credentials used to access customer environments remotely are unique for each customer.
DCF-360,Direct Query Access Restricted,"Direct query access to cardholder data repositories is restricted via applications or other programmatic methods (e.g., stored procedures) with access and allowed actions based on user roles and least privileges, unless performed by an authorized administrator."
DCF-363,Entry Controls in Place,"Entry controls (e.g., badge access systems, biometrics readers, monitored reception areas or front desks, etc.) are in place to restrict physical access to corporate facilities, including systems or areas that may process or store sensitive data, to authorized personnel, and to log and monitor such access."
DCF-365,Secure Physical Access Control Mechanisms,"Optimized Payments physical surveillance mechanisms (e.g., video monitoring systems, sensors and detectors) are in place to deter and detect unauthorized physical access and are protected from tampering or disabling."
DCF-366,Physical Access Control Mechanism Periodic Data Review,"Data collected from video cameras and/or access control mechanisms are reviewed and correlated with other entries (e.g., access logs) on a periodic basis and as needed (e.g., upon suspicious physical security activity)."
DCF-367,Physical Access Control Mechanism Data Retention,Data collected from video cameras and/or access control mechanisms is stored for at least three months unless otherwise restricted by law.
DCF-368,Restricted Physical Access to Publicly Accessible Network Jacks,Optimized Payments has implemented physical and/or logical controls to restrict access to publicly accessible network jacks.
DCF-369,Restricted Physical Access to Network Components,"Optimized Payments restricts physical access to wireless access points, gateways, networking/communications hardware, and telecommunication lines within the company facilities."
DCF-372,Restricted Access to Badge System,Optimized Payments restricts access to the identification or badge system to authorized personnel based on need-to-know principles.
DCF-374,Visitors Authorized and Escorted,"Visitors are authorized before entering, and escorted at all times within company facilities including areas where sensitive data may be processed or stored."
DCF-375,Personnel and Visitor Badges,Optimized Payments personnel are required to wear a badge or other form of identification within company facilities. Optimized Payments provides visitors with a badge or other form of identification that visibly distinguishes visitors from onsite personnel.
DCF-377,Visitor Badge Control,Visitor badges or identification are surrendered or deactivated before visitors leave the facility or at the date of expiration.
DCF-378,Visitor Log,"Optimized Payments maintains visitor logs to keep an audit trail of visitor activity to the company facilities, computer rooms, or data centers where sensitive data may be stored or transmitted."
DCF-379,Visitor Log Inclusions,"Optimized Payments' visitor log includes, at a minimum, the visitor's name and the organization represented, the date and time of the visit, and the name of the personnel authorizing physical access."
DCF-380,Visitor Log Retention,"Optimized Payments retains visitor logs for a minimum of three months, unless otherwise restricted by law."
DCF-381,Media Physically Secured,Media with sensitive data is physically secured to prevent unauthorized persons from gaining access to it.
DCF-382,Security of Offline Media Backup Storage,"Optimized Payments stores offline media backups in a secure location (e.g., off-site facility, commercial storage facility, etc.) with security measures to protect the confidentiality of the information. The security of the location is reviewed at least once every 12 month through inspection of the facilities. Results of the review are documented."
DCF-384,Media Classification,All media with sensitive data is classified in accordance with the nature of the data and the company's data classification policy.
DCF-385,Media Transported Securely,"Media with sensitive data transported within or outside the company's facilities is logged, securely transported (e.g., via secure courier or other trackable method), and captured within tracking logs to include details about media location, responsible party, etc."
DCF-386,Management Approval for Media Transport,"Management approves all assets (including media with sensitive data) that are moved within or outside the facility, including when the assets are distributed to individuals. Documentation of management's approval for the movement of assets is retained."
DCF-388,Media Inventory Logs,Optimized Payments maintains documented inventory all electronic media with sensitive data. A verification of the inventory is conducted at least once every 12 months in accordance with company procedures.
DCF-390,Media Destruction  ,Electronic media is destroyed or sensitive data is rendered unrecoverable so that it cannot be reconstructed when no longer needed for business or legal reasons.
DCF-391,Media Destruction Policies and Procedures,Optimized Payments has policies and procedures for the destruction of electronic media when no longer needed for business or legal reasons.
DCF-397,Payment Card Capture Devices Periodic Inspection,Optimized Payments performs periodic inspections of point of interaction (POI) device surfaces to detect tampering and unauthorized substitution in accordance with documented company policies and procedures.
DCF-404,Training Material for Payment Card Capture Device Tampering Awareness,"Optimized Payments provides periodic training for personnel in point-of-interaction (POI) environments to be aware of attempted tampering or replacement of POI devices including: verifying the identity of any third-party persons claiming to be repair or maintenance personnel prior to granting them access to modify or troubleshoot devices; procedures to ensure devices are not installed, replaced, or returned without verification; being aware of suspicious behavior around devices, and reporting suspicious behavior and indications of device tampering or substitution to appropriate personnel."
DCF-406,Audit Logging,Audit logs are enabled and active for all system components and sensitive data in accordance with company policies.
DCF-407,Audit Logs Data Points,"Optimized Payments has configured audit logs to contain user or identity, type of event, date and time, success and failure indication, origination of event, affected data, and system component, resource, or service."
DCF-408,Audit Trail for Individual User Access to Cardholder Data,Automated audit trails or logs are implemented for all system components to capture all access to cardholder data.
DCF-409,Audit Trail for Privileged Access,"Automated audit trails or logs are implemented for all system components to capture all actions taken by any identities with administrative access, including execution of privileged functions and any interactive use of application or system accounts."
DCF-410,Audit Trail Access Logging,Automated audit trails or logs are implemented for all system components to capture all access to audit logs.
DCF-411,Audit Trail for Invalid Access Attempts,Automated audit trails or logs are implemented for all system components to capture all invalid access attempts.
DCF-412,Audit Trail for Identification and Authentication Mechanism Changes,"Automated audit trails or logs are implemented to capture all changes to identification and authentication credentials (e.g., creation of new accounts, elevation of privileges, changes, additions, or deletions to accounts with administrative access, etc.)."
DCF-413,Audit Trail of Changes to Audit Logs,"Automated audit trails or logs are implemented for all system components to capture initialization of new audit logs and all starting, stopping, or pausing of the existing audit logs."
DCF-414,Audit Trail of System-Level Object Changes,Automated audit trails or logs are implemented for all system components to capture all creation and deletion of system-level objects.
DCF-421,Clock Synchronization,Optimized Payments synchronizes all critical system clocks and times using time-synchronization technology such as Network Time Protocol (NTP).
DCF-422,Time-related System Parameters,Systems are configured so that one or more designated central time servers are in use and receiving time from industry-accepted external sources based on International Atomic Time or Coordinated Universal Time (UTC).
DCF-423,Time Server Peering,"Where there is more than one designated time server, the time servers peer with one another to keep accurate time."
DCF-424,System Time Source,Internal systems receive time information only from designated central time server or servers.
DCF-425,Need-to-Know Access to Time Data,Access to modify time synchronization configurations or system time is restricted to authorized system administrators or personnel with a business need.
DCF-426,"Time Settings Changes Logged, Monitored, Reviewed","Any changes to time synchronization configurations or system time on critical systems are logged, monitored, and reviewed in accordance with company policies and procedures."
DCF-429,Limited Access to Audit Trails,Access to audit log files and associated configurations is limited to those with a job-related need as authorized by management.
DCF-430,Audit Trail Files Protected,"Audit log files are protected to prevent modifications by individuals (e.g., via access control mechanisms, physical segregation, network segregation, etc.)"
DCF-431,Audit Trail Files Backed Up,"Audit log files, including those for external facing technologies, are promptly backed up to a secure, central, internal log server(s) or other media that is difficult to modify."
DCF-434,Policies and Procedures for Logging,"Optimized Payments has documented policies and procedures for logging and monitoring that describe the events the organization must log and monitor, the general systems and system components that should be monitored, the specific information that must be captured in logs, the configuration of specific elements of the logging infrastructure, etc. The identified logged/monitored events are reviewed and updated periodically in accordance with company requirements."
DCF-435,Critical System Logs Reviewed Daily,"Optimized Payments performs reviews of the following critical audit logs at least daily (e.g., through the use of alerting mechanisms): all security events, logs of all system components that store, process, or transmit CHD and/or SAD, logs of all critical system components, and logs of all servers and system components that perform security functions."
DCF-437,Periodic Review of Non-Critical Logs,"Optimized Payments performs reviews of non-critical system logs periodically based on the organization's policies and risk management strategy, as determined by a risk assessment."
DCF-438,Follow-up Procedures on Log Review Anomalies and Exceptions,"Exceptions and anomalies identified during the periodic log-review process are investigated, escalated, and resolved in accordance with the company's documented policies and procedures."
DCF-441,Audit Log Retention Period,"Optimized Payments retains audit log history and historical records of activity for at least 12 months, with at least the most recent three months immediately available for analysis."
DCF-444,Critical Security Control System Failure Alert,"Optimized Payments has implemented alerting mechanisms to notify personnel of failures of critical security control systems (including network security controls, IDS/IPS, change-detection mechanisms, anti-malware solutions, physical access controls, logical access controls, audit logging mechanisms, segmentation controls, audit log review mechanisms, automated security testing tools, etc.). Failures of critical security control systems are evaluated as a security event and investigated in accordance with company policies and procedures."
DCF-445,Critical Security Control System Failure Response,"Failures of any critical security controls systems are addressed promptly based on the nature of the failure and monitoring of security controls is resumed. Documentation is maintained to include identification of the issue, start time and end time, root cause and required remediation, identification of any security issues that arose during the failure along with associated response, identification of follow-up actions are required as a result of the security failure, and implemented controls to prevent the cause of failure from reoccurring."
DCF-448,Wireless Access Point Detection and Identification,"Optimized Payments conducts tests (either through manual verification or automated mechanisms) to identify the presence of authorized and unauthorized wireless (Wi-Fi) access points periodically per policy and compliance requirements. If automated monitoring is used, personnel are notified via generated alerts. Results are documented."
DCF-452,Inventory of Authorized Wireless Access Points,Optimized Payments maintains a documented inventory of authorized wireless access points including business justification.
DCF-454,Actions Against Unauthorized Wireless Access Points,Optimized Payments executes an incident response process in the event unauthorized wireless access points are detected in accordance with the company's documented policies and procedures.
DCF-455,Internal Vulnerability Scans (PCI),Optimized Payments conducts internal vulnerability scans at least once every three months or upon significant changes to network or systems. The scan tool is kept up to date with latest vulnerability information.
DCF-456,Vulnerabilities Identified and Resolved,All critical or high vulnerabilities identified are addressed immediately and a subsequent scan is performed to validate resolution. All other applicable vulnerabilities are addressed based on the company's evaluation of risk per documented policies and procedures and rescans are conducted as needed to confirm resolution.
DCF-458,Quarterly External Vulnerability Scans (PCI) ,External vulnerability scans are performed at least once every three months by a PCI SSC Approved Scanning Vendor (ASV). Vulnerabilities are resolved and ASV Program Guide requirements for a passing scan are met. Rescans are performed as needed to confirm that vulnerabilities are resolved.
DCF-461,External Vulnerability Scans After Significant Change,External vulnerability scans are performed after any significant change in the environment by qualified personnel on all system components affected by the change. Organizational independence of the tester is maintained. Vulnerabilities that are scored 4.0 or higher by the CVSS are resolved and rescans are conducted as needed to validate corrections.
DCF-463,Internal Vulnerability Scans by Competent and Independent Party,Optimized Payments assigns a qualified internal resource(s) or qualified external third party to perform internal vulnerability scans. Organizational independence of the tester exists to maintain segregation of duties in the process.
DCF-464,Penetration Testing Methodology,"Optimized Payments has defined and documented a penetration testing methodology for the organization. The methodology includes industry-accepted penetration testing approaches, coverage for the entire CDE perimeter and critical systems, testing from both inside and outside the network, testing to validate any segmentation and scope reduction controls, application-layer penetration testing, network layer penetration tests, review and consideration of threats and vulnerabilities experienced in the last 12 months, documented approach to assessing and addressing the risk posed by exploitable vulnerabilities and security weaknesses found during penetration testing, and retention of penetration testing results and remediation activities results for at least 12 months."
DCF-465,External Penetration Testing Requirements,Optimized Payments conducts external penetration tests at least once every 12 months or after any significant infrastructure or application upgrade or change per the company's defined methodology. Testing is performed by a qualified internal resource or qualified external third party and organizational independence of the tester is maintained.
DCF-467,Internal Penetration Testing Requirements,Optimized Payments conducts internal penetration tests at least once every 12 months and after any significant infrastructure or application upgrade or change per the company's defined methodology. Testing is performed by a qualified internal resource or qualified external third-party and organizational independence of the tester is maintained.
DCF-469,Resolving Vulnerabilities from Penetration Testing,Optimized Payments corrects exploitable vulnerabilities and security weaknesses found during penetration testing based on the assessment of the risk posed by the security issue and in accordance with company policies and procedures. Penetration testing is repeated to verify the corrections.
DCF-470,Periodic Penetration Testing on Segmentation Controls,"Where segmentation is used to isolate the CDE from other networks, Optimized Payments conducts penetration periodically and after any changes to segmentation controls/methods to validate segmentation and isolation mechanisms are operational and effective. Testing covers all methods in use per the company's defined methodology and is performed by a qualified internal resource or qualified external third party with organizational independence of the tester."
DCF-473,Periodic Segmentation Control Penetration Testing,"For mutitenant service providers, a penetration test is performed at least every six months to validate the effectiveness of logical separation controls used to separate customer environments."
DCF-477,IDS/IPS Up to Date,"Intrusion-detection and/or intrusion-prevention techniques are configured to keep all engines, baselines, and signatures up to date."
DCF-478,Change Detection Mechanism,"Optimized Payments has enabled file integrity monitoring or a change-detection mechanism to detect unauthorized modification (including changes, additions, and deletions) of critical system files, configuration files, audit files, or content files to ensure critical data cannot be changed without generating alerts."
DCF-479,Periodic Critical File Comparisons,Optimized Payments file integrity monitoring or change-detection mechanism perform critical file comparisons at least once weekly.
DCF-482,Acceptable Use Policy for End-User Technologies,"Optimized Payments has documented and implemented acceptable use policies for end-user technologies (e.g., remote access and wireless technologies, laptops, tablets, mobile phones, removable electronic media, email usage, internet, etc.), which include explicit approval by authorized parties, acceptable uses of the technology, and list of products approved by the company for employee use, including hardware and software."
DCF-493,PCI DSS Compliance Program Charter,"Optimized Payments's executive management has defined a charter for the PCI DSS compliance program. The charter assigns responsibility within executive management for the protection of cardholder data and overall accountability for maintaining PCI DSS compliance, and establishes communication requirements to provide executive management and board of directors updates regarding PCI DSS compliance activities at least once every 12 months."
DCF-496,Designated Information Security Official,Optimized Payments has formally assigned and documented the responsibility for information security to a Chief Security Officer or other security-knowledgeable member of management
DCF-499,Incident Response Plan (PCI) ,"Optimized Payments's incident response plan includes roles, responsibilities, and communication and contact strategies in the event of a suspected or confirmed security incident (including notification of payment brands and acquirers), incident response procedures with specific containment and mitigation activities for different types of incidents, business recovery and continuity procedures, data backup processes, analysis of legal requirements for reporting compromises, coverage and responses of all critical system components, and reference or inclusion of incident response procedures from the payment brands."
DCF-503,Multiple Methods for Security Awareness,"Optimized Payments's security awareness program includes multiple methods of communicating awareness and educating personnel, such as newsletters, web-based training, in-person training, team meetings, phishing simulations, etc. Periodic security updates are provided to personnel through these multiple methods of communication."
DCF-504,Cardholder Data Security Awareness Training  ,"Security awareness training materials include information Optimized Payments's security policy, phishing and related attacks, social engineering, awareness about the acceptable use of end-user technologies, and personnel's role in protecting cardholder data."
DCF-507,Vendor Due Diligence,"Optimized Payments performs due diligence activities prior to engaging with a new service provider or vendor (e.g., review of security questionnaires and compliance reports, review of vendor-provided policies, procedures, or other documents, analysis of delegated or shared responsibilities with the prospective vendor, etc.). Results of the due diligence activities including action items are documented."
DCF-509,Documented PCI DSS Responsibilities of Service Providers,"Optimized Payments maintains documented information about which PCI DSS requirements are managed by each service provider, which are managed by the entity, and any shared responsibilities between service providers and the entity."
DCF-510,Service Providers Acknowledge Security Responsibilities,"Optimized Payments acknowledges in writing to customers through contracts, service agreements, or other means, that Optimized Payments will be responsible for the security of account data it possesses or otherwise stores, processes, or transmits on behalf of its customers, or to the extent that the company could impact the security of the customer's CDE."
DCF-516,Incident Response Training,"Optimized Payments provides incident response training to personnel consistent with their assigned roles and responsibilities (e.g., incident identification and reporting for all personnel vs. incident handling for incident response team members, etc.). Personnel complete training within the timelines established in policies and procedures upon receiving system access or assuming an incident response role or responsibility, when required by system changes, and at periodic intervals."
DCF-517,Monitoring Procedures for System Alerts,"Optimized Payments's security incident response plan includes procedures for monitoring and responding to alerts from security monitoring systems including intrusion-detection and intrusion-prevention systems, network security controls, change-detection mechanisms for critical files, the change-and tamper-detection mechanism for payment pages, detection of unauthorized wireless access points, etc."
DCF-519,PCI DSS Compliance Periodic Reviews,"Management performs reviews at least once every three months to confirm that personnel are performing their tasks in accordance with all security policies and operational procedures. Reviews are performed with segregation of duties and include the following tasks: daily log reviews, configuration reviews for network security controls, applying configuration standards to new systems, responding to security alerts, and change-management processes. Results of the reviews are documented and retained."
DCF-521,PCI DSS Compliance Periodic Reviews Documentation,Management documents the results of the reviews performed by management to confirm that personnel are performing their tasks in accordance with all security policies and operational procedures. The documentation includes remediation actions taken for any tasks that were found to not be performed and sign-off of results by personnel assigned responsibility for the PCI DSS compliance program.
DCF-522,Anti-Malware Scans of Media,"The implemented anti-malware solutions are configured to perform automatic scans or continuous behavioral analysis of systems or processes when removable electronic media is inserted, connected, or logically mounted within the environment."
DCF-523,Inventory of Trusted Keys and Certificates to Protect PAN During Transmission,"Optimized Payments maintains an inventory of the entity's trusted keys and certificates used to protect primary account numbers (PANs) during transmission. For certificates, the inventory includes the issuing certificate authority and expiration date."
DCF-524,Periodic Review of Application and System Accounts,"Management performs a review of application and system accounts and their associated privileges periodically (per policy and compliance requirements) to ensure access remains appropriate for the function being performed. Changes resulting from the review, if any, are documented and implemented."
DCF-525,Technical Controls to Prevent Copy/Relocation of PAN,"Optimized Payments has implemented technical controls to prevent copy and/or relocation of primary account numbers (PAN) (e.g., using local hard drives, removable storage media, etc.) when personnel use remote-access technologies, except where documented authorization and a legitimate business need exists."
DCF-527,Designated Data Protection Officer,"Optimized Payments has appointed and documented responsibilities of an individual (e.g., data protection officer) responsible for developing, implementing, maintaining and monitoring an organization-wide governance and privacy program and acting as a point of contact to authorities and data subjects to ensure compliance with all applicable laws and regulations regarding the processing of PII."
DCF-529,Data Subject Consent,Optimized Payments has documented and implemented a process to obtain consent from data subjects prior to collecting PII. The organization obtains and records consent from data subjects according to the documented process.
DCF-531,Notification of Disclosures to Third Parties,"Optimized Payments documents and maintains a record of authorized disclosures of PII to third parties (including what PII has been disclosed, to whom and when). Optimized Payments also notifies customers of any legally binding requests for disclosure of PII, unless prohibited by law."
DCF-536,Record of Processing Activity (ROPA),"Optimized Payments has established and documented records of processing activity (ROPA), which includes descriptions of the of lawful collection and use of PII as well as the specific purposes for which PII is processed."
DCF-537,Data Processing Agreements,Optimized Payments has data processing agreements (DPAs) in place with sub-processors that include the minimum technical and organizational measures that the third parties need to implement to meet the objectives of Optimized Payments's privacy program.
DCF-540,Timely Response to Data Subject Requests or Inquiries,"Upon receiving a privacy right request, privacy inquiry, or privacy incident report, Optimized Payments provides confirmation of receipt and responds to the request, inquiry, or report within the timeframes established by regulatory requirements."
DCF-541,Procedures for Management of Data Subject Rights,Optimized Payments has defined and documented policies and procedures for handling and responding to requests from data subjects to exercise their data subject rights.
DCF-543,Communication of Changes in Subprocessors,Optimized Payments notifies customers of any intended changes (including additions and replacements) in subprocessors that process PII so that customers have an opportunity to object to such changes.
DCF-549,Identity Verification for Data Subject Requests ,"Optimized Payments has established, documented, and implemented a method for verifying that the person making a privacy right request is the data subject or an authorized agent. If Optimized Payments cannot confirm the identity or authorization of the requestor, Optimized Payments notifies the requestor, denies the request, and retains supporting documentation."
DCF-557,Shared Account Management,"Group, shared, or generic account usage is prevented unless strictly necessary and supported by documented business justification and management approval. Mechanisms are in place to confirm individual user identity before access to the account is granted and to trace every action to an individual user."
DCF-558,Restrictions on Software Installation and Execution,"Optimized Payments has identified allowed software programs in the organization and implemented mechanisms to restrict and monitor the installation and execution of unauthorized software (e.g., through procedural methods or automated mechanisms such as corporate app stores and deny-all, allow-by-exception rules). The list of allowed software is reviewed and updated periodically as determined by the organization."
DCF-562,Management of Utility Programs,"Access to manage utility programs (including anti-virus consoles and diagnostic, patching, backup, or network tools, or any other utility can be capable of overriding system and application controls) is restricted to authorized system administrators. Standard users cannot disable privileged utilities or modify their configurations."
DCF-566,Management of Nonconformities,"When a nonconformity is identified, Optimized Payments performs a root-cause analysis and implements corrective actions to address the nonconformity. Optimized Payments retains documentation of the analysis and subsequent actions taken and of the results of any corrective action."
DCF-567,Change Management Policy,"Optimized Payments has a documented a policy that describes the requirements for managing changes across the organization, including changes to infrastructure, systems, and applications."
DCF-569,Information Labeling,Optimized Payments has developed and implemented procedures for labeling of assets and information across the organization in accordance with the organization's information classification scheme.
DCF-570,Disciplinary Process,Optimized Payments has a defined disciplinary sanctions process to be enacted when a member of the workforce violates the company's policies or causes a security or privacy incident. Management retains documentation of instances when the disciplinary process was enacted.
DCF-571,Fire Detection and Suppression,Fire detection and suppression systems are installed in critical locations to protect people and assets in the event of a disaster. Maintenance is conducted periodically in accordance with manufacturer guidance.
DCF-572,Temperature Monitoring Systems,Server rooms and data centers are air conditioned to maintain appropriate atmospheric conditions. Systems are in place to monitor and control air temperature and humidity at appropriate levels. Maintenance is conducted periodically in accordance with manufacturer guidance.
DCF-573,Uninterruptible Power Supply,Uninterruptible power supply (UPS) systems units are in place to provide backup power in the event of an electrical failure in the data centers or server rooms. Maintenance is conducted periodically in accordance with manufacturer guidance.
DCF-574,Mobile Device Management Software,"A mobile device management (MDM) is installed in company-issued devices and bring-your-own devices used for company purposes to enforce security for assets off-premise (e.g., location tracking, remote locking and wiping, threat detection, restrictions on software installation, etc.)"
DCF-611,Obscured Authentication Feedback,"Optimized Payments has implemented mechanisms to obscure the feedback of authentication information, such as usernames/passwords, during the authentication process where technically feasible (e.g., in company-developed systems or applications, configurable third-party systems, etc.)."
DCF-619,Media Sanitization,"Optimized Payments sanitizes equipment and system media that contain sensitive prior to disposal, release for reuse, or release out of organizational control (e.g., removed from premises for off-site maintenance). Optimized Payments reviews, approves, tracks, documents, and verifies media sanitization and disposal actions in accordance with company policies and procedures."
DCF-637,Secure Development Process,"Optimized Payments has documented software development procedures that outline the company's processes for secure development. The documented processes include references to industry standards and/or best practices for secure development, security requirement considerations (for example, secure authentication and logging, etc.), and consideration for information security issues during each stage of the software development life cycle."
DCF-677,Software Update and Patch Management,Optimized Payments has implemented a software update management process where critical patches and application updates are installed for all authorized software within priority SLAs established in company policies.
DCF-678,Network Security Policy,"Optimized Payments has defined and documented a policy that outlines requirements for deployment, management and operation of network security controls at the company."
DCF-681,Phishing Simulations,Optimized Payments conducts periodic phishing simulations or social engineering tests as part of the company's security awareness initiatives.
DCF-682,Roles and Responsibilities for PCI DSS Compliance,"Roles and responsibilities for PCI DSS compliance activities and requirements are documented and assigned (e.g., through a responsibility assignment (RACI) matrix or other format), which are reviewed by management at least annually and signed-off by relevant personnel to evidence their acknowledgement and understanding of their responsibilities."
DCF-683,Password Expiration Periods for Customer User Access,"For customer user access where passwords/passphrases are used as the only authentication factor, credentials are required to be changed at least once every 90 days. Alternatively, technical measures are implemented to dynamically analyze the security posture of accounts, and real-time access to resources is automatically determined accordingly."
